id,fecha_captura,nombre_completo,puesto_id,coordinacion_id,username_asignado,password_asignado_cifrado,correo,es_cuenta_generica,estatus,quien_entrega_id,fecha_entrega,perfil_id,se_da_negativa,observaciones,registrado_por_id,created_at,updated_at
1,2026-07-17,Persona Ejemplo 01,1,6,usuario.ejemplo1,hash-sintetico-no-real,usuario.ejemplo1@ejemplo.gob.mx,false,Entregado,3,2026-08-28,1,false,Dato de muestra sintético (no es información real).,5,2026-06-13T07:23:00Z,2026-03-17T16:49:00Z
2,2026-05-07,Persona Ejemplo 02,5,8,usuario.ejemplo2,hash-sintetico-no-real,usuario.ejemplo2@ejemplo.gob.mx,false,Pendiente,6,2026-08-30,4,true,Dato de muestra sintético (no es información real).,5,2026-01-25T12:57:00Z,2026-07-31T07:28:00Z
3,2026-08-12,Persona Ejemplo 03,6,2,usuario.ejemplo3,hash-sintetico-no-real,usuario.ejemplo3@ejemplo.gob.mx,true,Entregado,2,2026-08-29,8,false,Dato de muestra sintético (no es información real).,4,2026-03-20T13:14:00Z,2026-06-25T18:40:00Z
4,2026-01-22,Persona Ejemplo 04,3,7,usuario.ejemplo4,hash-sintetico-no-real,usuario.ejemplo4@ejemplo.gob.mx,false,Entregado,7,2026-03-12,1,false,Dato de muestra sintético (no es información real).,4,2026-01-05T10:49:00Z,2026-05-07T10:27:00Z
5,2026-03-26,Persona Ejemplo 05,1,4,usuario.ejemplo5,hash-sintetico-no-real,usuario.ejemplo5@ejemplo.gob.mx,false,Entregado,1,2026-08-14,7,true,Dato de muestra sintético (no es información real).,7,2026-02-10T12:16:00Z,2026-03-14T07:06:00Z
6,2026-06-12,Persona Ejemplo 06,7,3,usuario.ejemplo6,hash-sintetico-no-real,usuario.ejemplo6@ejemplo.gob.mx,false,Entregado,6,2026-04-04,4,false,Dato de muestra sintético (no es información real).,2,2026-08-10T09:18:00Z,2026-01-29T09:05:00Z
7,2026-06-01,Persona Ejemplo 07,4,4,usuario.ejemplo7,hash-sintetico-no-real,usuario.ejemplo7@ejemplo.gob.mx,false,Pendiente,3,2026-01-03,8,false,Dato de muestra sintético (no es información real).,6,2026-06-22T12:14:00Z,2026-03-09T14:18:00Z
8,2026-06-01,Persona Ejemplo 08,5,5,usuario.ejemplo8,hash-sintetico-no-real,usuario.ejemplo8@ejemplo.gob.mx,false,Entregado,2,2026-03-18,3,false,Dato de muestra sintético (no es información real).,6,2026-08-29T16:47:00Z,2026-02-25T16:03:00Z
9,2026-04-01,Persona Ejemplo 09,5,2,usuario.ejemplo9,hash-sintetico-no-real,usuario.ejemplo9@ejemplo.gob.mx,false,Entregado,7,2026-04-01,5,false,Dato de muestra sintético (no es información real).,4,2026-04-06T18:13:00Z,2026-02-20T07:53:00Z
10,2026-03-21,Persona Ejemplo 10,7,6,usuario.ejemplo10,hash-sintetico-no-real,usuario.ejemplo10@ejemplo.gob.mx,false,Entregado,6,2026-05-10,5,false,Dato de muestra sintético (no es información real).,6,2026-04-11T09:01:00Z,2026-01-22T11:07:00Z
11,2026-08-08,Persona Ejemplo 11,8,4,usuario.ejemplo11,hash-sintetico-no-real,usuario.ejemplo11@ejemplo.gob.mx,true,Pendiente,6,2026-07-25,7,false,Dato de muestra sintético (no es información real).,3,2026-06-13T13:44:00Z,2026-08-11T08:59:00Z
12,2026-07-04,Persona Ejemplo 12,7,4,usuario.ejemplo12,hash-sintetico-no-real,usuario.ejemplo12@ejemplo.gob.mx,true,Pendiente,6,2026-04-25,3,true,Dato de muestra sintético (no es información real).,7,2026-02-10T12:53:00Z,2026-01-11T16:10:00Z
13,2026-03-24,Persona Ejemplo 13,3,4,usuario.ejemplo13,hash-sintetico-no-real,usuario.ejemplo13@ejemplo.gob.mx,false,Entregado,4,2026-02-05,5,false,Dato de muestra sintético (no es información real).,8,2026-02-17T14:31:00Z,2026-07-23T11:28:00Z
14,2026-04-12,Persona Ejemplo 14,5,8,usuario.ejemplo14,hash-sintetico-no-real,usuario.ejemplo14@ejemplo.gob.mx,true,Entregado,6,2026-06-07,7,false,Dato de muestra sintético (no es información real).,3,2026-01-24T08:16:00Z,2026-05-07T07:09:00Z
15,2026-04-13,Persona Ejemplo 15,5,6,usuario.ejemplo15,hash-sintetico-no-real,usuario.ejemplo15@ejemplo.gob.mx,false,Entregado,8,2026-07-12,2,true,Dato de muestra sintético (no es información real).,8,2026-06-14T12:39:00Z,2026-01-11T18:14:00Z
