id,tipo_suministro,modelo_marca_id,modelo_marca_nombre,tamano,cantidad,folio_ticket,numero_serie_impresora,consecutivo_asignado,coordinacion_id,coordinacion_nombre,contador_total,fecha_cambio,tecnico_personal_ti_id,tecnico_nombre,quien_recibe_personal_ti_id,quien_recibe_personal_hospital_id,quien_recibe_nombre,registrado_por_id,created_at,updated_at,pdf_nombre_original,pdf_nombre_archivo,pdf_ruta,pdf_mime,pdf_tamano,pdf_subido_at
1,toner,7,Marca de ejemplo,dato-sintetico,20,EJ-2026-0001,EQ-DEMO-0001,83354,2,Coordinación de Recursos Humanos,23846,2026-01-27,6,Persona Ejemplo 01,4,4,Persona Ejemplo 01,7,2026-01-01T16:09:00Z,2026-06-28T08:12:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,19552,2026-06-01T12:15:00Z
2,papel,4,Marca de ejemplo,dato-sintetico,16,EJ-2026-0002,EQ-DEMO-0002,44457,3,Coordinación de Informática,43321,2026-01-28,5,Persona Ejemplo 02,4,6,Persona Ejemplo 02,7,2026-03-20T11:04:00Z,2026-04-17T09:59:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,60439,2026-06-02T17:38:00Z
3,papel,4,Marca de ejemplo,dato-sintetico,2,EJ-2026-0003,EQ-DEMO-0003,85973,4,Subdirección Médica,20381,2026-07-14,7,Persona Ejemplo 03,1,6,Persona Ejemplo 03,6,2026-03-10T10:46:00Z,2026-03-23T07:39:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,94688,2026-04-24T07:00:00Z
4,toner,8,Marca de ejemplo,dato-sintetico,1,EJ-2026-0004,EQ-DEMO-0004,18527,7,Subdirección Administrativa,92818,2026-04-02,7,Persona Ejemplo 04,7,4,Persona Ejemplo 04,6,2026-07-08T18:02:00Z,2026-07-19T07:28:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,32205,2026-08-30T12:23:00Z
5,papel,5,Marca de ejemplo,dato-sintetico,3,EJ-2026-0005,EQ-DEMO-0005,17057,7,Coordinación de Mantenimiento,75026,2026-06-25,1,Persona Ejemplo 05,7,4,Persona Ejemplo 05,3,2026-06-30T18:34:00Z,2026-04-17T14:54:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,29840,2026-05-06T08:25:00Z
6,papel,7,Marca de ejemplo,dato-sintetico,10,EJ-2026-0006,EQ-DEMO-0006,36255,2,Coordinación de Enseñanza,31891,2026-05-25,2,Persona Ejemplo 06,4,7,Persona Ejemplo 06,4,2026-08-17T08:45:00Z,2026-03-15T10:39:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,38811,2026-07-27T09:44:00Z
7,papel,3,Marca de ejemplo,dato-sintetico,15,EJ-2026-0007,EQ-DEMO-0007,7492,7,Dirección,83181,2026-08-20,7,Persona Ejemplo 07,8,2,Persona Ejemplo 07,4,2026-02-22T13:15:00Z,2026-05-14T13:41:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,93368,2026-06-26T17:23:00Z
8,papel,4,Marca de ejemplo,dato-sintetico,18,EJ-2026-0008,EQ-DEMO-0008,87581,2,Coordinación de Enseñanza,28026,2026-06-12,2,Persona Ejemplo 08,6,6,Persona Ejemplo 08,7,2026-04-16T08:13:00Z,2026-04-23T09:59:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,17551,2026-04-03T11:30:00Z
9,papel,2,Marca de ejemplo,dato-sintetico,11,EJ-2026-0009,EQ-DEMO-0009,52052,7,Coordinación de Mantenimiento,17461,2026-05-09,2,Persona Ejemplo 09,1,6,Persona Ejemplo 09,2,2026-05-14T13:33:00Z,2026-06-19T15:01:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,83366,2026-03-11T18:47:00Z
10,papel,6,Marca de ejemplo,dato-sintetico,15,EJ-2026-0010,EQ-DEMO-0010,87161,8,Coordinación de Mantenimiento,17628,2026-06-05,2,Persona Ejemplo 10,7,2,Persona Ejemplo 10,5,2026-06-05T12:07:00Z,2026-01-28T10:12:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,9379,2026-05-06T17:35:00Z
11,papel,8,Marca de ejemplo,dato-sintetico,12,EJ-2026-0011,EQ-DEMO-0011,77428,3,Dirección,68806,2026-01-16,8,Persona Ejemplo 11,1,8,Persona Ejemplo 11,6,2026-01-18T07:15:00Z,2026-06-23T09:10:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,25547,2026-01-07T18:24:00Z
12,toner,6,Marca de ejemplo,dato-sintetico,16,EJ-2026-0012,EQ-DEMO-0012,35372,4,Dirección,18210,2026-06-25,5,Persona Ejemplo 12,6,5,Persona Ejemplo 12,5,2026-01-07T11:28:00Z,2026-01-24T08:22:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,26203,2026-01-29T08:18:00Z
13,papel,5,Marca de ejemplo,dato-sintetico,11,EJ-2026-0013,EQ-DEMO-0013,33024,8,Subdirección Médica,26100,2026-08-18,7,Persona Ejemplo 13,1,5,Persona Ejemplo 13,3,2026-05-10T08:19:00Z,2026-01-23T16:24:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,15900,2026-01-05T12:32:00Z
14,toner,5,Marca de ejemplo,dato-sintetico,17,EJ-2026-0014,EQ-DEMO-0014,4396,1,Dirección,13387,2026-05-25,5,Persona Ejemplo 14,1,1,Persona Ejemplo 14,5,2026-06-02T08:34:00Z,2026-06-20T09:42:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,47017,2026-05-06T17:30:00Z
15,toner,1,Marca de ejemplo,dato-sintetico,7,EJ-2026-0015,EQ-DEMO-0015,5500,3,Coordinación de Enseñanza,80106,2026-08-09,6,Persona Ejemplo 15,2,4,Persona Ejemplo 15,4,2026-02-06T09:15:00Z,2026-05-18T07:28:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,46552,2026-08-28T18:29:00Z
16,papel,1,Marca de ejemplo,dato-sintetico,14,EJ-2026-0016,EQ-DEMO-0016,26734,3,Coordinación de Enseñanza,22027,2026-08-29,8,Persona Ejemplo 16,1,3,Persona Ejemplo 16,7,2026-01-15T14:14:00Z,2026-05-24T16:27:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,66273,2026-04-06T11:56:00Z
17,papel,4,Marca de ejemplo,dato-sintetico,2,EJ-2026-0017,EQ-DEMO-0017,33180,1,Coordinación de Recursos Humanos,27785,2026-08-02,8,Persona Ejemplo 17,1,7,Persona Ejemplo 17,4,2026-02-23T15:36:00Z,2026-06-22T12:00:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,11942,2026-01-25T08:21:00Z
18,papel,5,Marca de ejemplo,dato-sintetico,16,EJ-2026-0018,EQ-DEMO-0018,75812,1,Coordinación de Enfermería,77010,2026-02-09,3,Persona Ejemplo 18,1,4,Persona Ejemplo 18,8,2026-04-07T16:44:00Z,2026-01-30T15:49:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,7838,2026-06-19T16:53:00Z
19,toner,8,Marca de ejemplo,dato-sintetico,2,EJ-2026-0019,EQ-DEMO-0019,4646,8,Coordinación de Informática,79496,2026-07-09,5,Persona Ejemplo 19,6,1,Persona Ejemplo 19,6,2026-05-24T07:01:00Z,2026-05-28T09:43:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,19220,2026-01-18T09:48:00Z
20,toner,5,Marca de ejemplo,dato-sintetico,8,EJ-2026-0020,EQ-DEMO-0020,41615,1,Subdirección Médica,58696,2026-04-21,4,Persona Ejemplo 20,1,3,Persona Ejemplo 20,1,2026-07-14T07:33:00Z,2026-01-23T18:00:00Z,dato-sintetico,dato-sintetico,dato-sintetico,dato-sintetico,19052,2026-07-29T11:08:00Z
