id,tipo_suministro,modelo_marca_id,modelo_marca_nombre,tamano,cantidad,cantidad_disponible,monto,fecha_ingreso,numero_contrato,quien_recibe_personal_ti_id,quien_recibe_nombre,registrado_por_id,created_at,updated_at
1,toner,4,Marca de ejemplo,dato-sintetico,12,11,652.85,2026-01-18,EJ-2026-0001,7,Persona Ejemplo 01,4,2026-04-10T16:10:00Z,2026-05-13T14:03:00Z
2,papel,2,Marca de ejemplo,dato-sintetico,16,14,4209.18,2026-05-24,EJ-2026-0002,4,Persona Ejemplo 02,3,2026-03-16T07:11:00Z,2026-01-22T09:31:00Z
3,toner,6,Marca de ejemplo,dato-sintetico,1,9,1686.14,2026-05-14,EJ-2026-0003,2,Persona Ejemplo 03,2,2026-03-08T14:19:00Z,2026-05-06T11:48:00Z
4,papel,5,Marca de ejemplo,dato-sintetico,11,14,3409.65,2026-06-09,EJ-2026-0004,4,Persona Ejemplo 04,1,2026-05-05T15:36:00Z,2026-07-11T18:09:00Z
5,toner,6,Marca de ejemplo,dato-sintetico,18,19,4960.45,2026-08-08,EJ-2026-0005,3,Persona Ejemplo 05,4,2026-07-04T15:10:00Z,2026-01-19T13:45:00Z
6,toner,5,Marca de ejemplo,dato-sintetico,8,12,4576.40,2026-01-02,EJ-2026-0006,5,Persona Ejemplo 06,3,2026-03-09T12:54:00Z,2026-07-11T17:22:00Z
7,toner,7,Marca de ejemplo,dato-sintetico,12,10,4793.59,2026-08-04,EJ-2026-0007,4,Persona Ejemplo 07,2,2026-05-02T15:58:00Z,2026-03-28T17:51:00Z
8,toner,3,Marca de ejemplo,dato-sintetico,6,15,850.46,2026-03-10,EJ-2026-0008,1,Persona Ejemplo 08,7,2026-02-15T14:15:00Z,2026-04-23T13:54:00Z
9,papel,4,Marca de ejemplo,dato-sintetico,10,4,3040.29,2026-03-20,EJ-2026-0009,5,Persona Ejemplo 09,1,2026-02-14T09:34:00Z,2026-04-11T11:30:00Z
10,papel,5,Marca de ejemplo,dato-sintetico,14,8,985.24,2026-02-08,EJ-2026-0010,7,Persona Ejemplo 10,4,2026-01-12T07:18:00Z,2026-07-26T18:18:00Z
