id,numero_empleado,apellidos,nombres,nombre_completo,numero_plaza,servicio,puesto,coordinacion_nombre,coordinacion_id,jornada,hora_entrada,hora_salida,dias_laborales,status_laboral,activo,fuente_fila,importado_por_id,ultima_importacion_at,created_at,updated_at
1,62033,Ejemplo 01,Ejemplo 01,Persona Ejemplo 01,92277,dato-sintetico,dato-sintetico,Subdirección Administrativa,6,dato-sintetico,08:48:00,11:50:00,dato-sintetico,dato-sintetico,true,dato-sintetico,4,2026-03-10T09:32:00Z,2026-02-16T11:13:00Z,2026-04-29T07:01:00Z
2,99829,Ejemplo 02,Ejemplo 02,Persona Ejemplo 02,1575,dato-sintetico,dato-sintetico,Subdirección Médica,4,dato-sintetico,16:55:00,13:16:00,dato-sintetico,dato-sintetico,true,dato-sintetico,2,2026-04-05T15:07:00Z,2026-02-04T12:11:00Z,2026-05-12T18:28:00Z
3,46719,Ejemplo 03,Ejemplo 03,Persona Ejemplo 03,37037,dato-sintetico,dato-sintetico,Coordinación de Mantenimiento,4,dato-sintetico,14:15:00,16:07:00,dato-sintetico,dato-sintetico,true,dato-sintetico,3,2026-01-04T12:51:00Z,2026-03-19T12:15:00Z,2026-08-24T09:59:00Z
4,5509,Ejemplo 04,Ejemplo 04,Persona Ejemplo 04,64509,dato-sintetico,dato-sintetico,Coordinación de Recursos Humanos,3,dato-sintetico,10:12:00,18:27:00,dato-sintetico,dato-sintetico,true,dato-sintetico,3,2026-05-14T15:00:00Z,2026-05-17T08:53:00Z,2026-03-04T12:40:00Z
5,4687,Ejemplo 05,Ejemplo 05,Persona Ejemplo 05,69282,dato-sintetico,dato-sintetico,Coordinación de Enseñanza,8,dato-sintetico,07:24:00,17:20:00,dato-sintetico,dato-sintetico,true,dato-sintetico,1,2026-06-04T13:25:00Z,2026-01-21T17:40:00Z,2026-07-04T12:31:00Z
6,41680,Ejemplo 06,Ejemplo 06,Persona Ejemplo 06,69496,dato-sintetico,dato-sintetico,Dirección,7,dato-sintetico,17:34:00,15:38:00,dato-sintetico,dato-sintetico,true,dato-sintetico,1,2026-07-06T15:37:00Z,2026-03-19T15:02:00Z,2026-03-05T15:40:00Z
7,84943,Ejemplo 07,Ejemplo 07,Persona Ejemplo 07,6925,dato-sintetico,dato-sintetico,Subdirección Administrativa,5,dato-sintetico,09:53:00,14:02:00,dato-sintetico,dato-sintetico,true,dato-sintetico,6,2026-05-11T10:09:00Z,2026-02-17T10:44:00Z,2026-01-08T11:59:00Z
8,33354,Ejemplo 08,Ejemplo 08,Persona Ejemplo 08,15379,dato-sintetico,dato-sintetico,Subdirección Médica,6,dato-sintetico,13:04:00,15:33:00,dato-sintetico,dato-sintetico,true,dato-sintetico,6,2026-04-30T18:29:00Z,2026-05-10T07:15:00Z,2026-06-15T18:55:00Z
9,2943,Ejemplo 09,Ejemplo 09,Persona Ejemplo 09,39092,dato-sintetico,dato-sintetico,Coordinación de Enseñanza,6,dato-sintetico,09:12:00,08:36:00,dato-sintetico,dato-sintetico,true,dato-sintetico,3,2026-04-02T10:55:00Z,2026-05-21T15:12:00Z,2026-02-28T15:12:00Z
10,47796,Ejemplo 10,Ejemplo 10,Persona Ejemplo 10,18011,dato-sintetico,dato-sintetico,Subdirección Médica,5,dato-sintetico,17:49:00,15:52:00,dato-sintetico,dato-sintetico,false,dato-sintetico,5,2026-01-29T08:40:00Z,2026-01-23T12:45:00Z,2026-07-12T16:25:00Z
11,16227,Ejemplo 11,Ejemplo 11,Persona Ejemplo 11,64139,dato-sintetico,dato-sintetico,Coordinación de Recursos Humanos,8,dato-sintetico,07:47:00,12:48:00,dato-sintetico,dato-sintetico,true,dato-sintetico,1,2026-07-26T14:48:00Z,2026-03-04T10:34:00Z,2026-06-25T08:38:00Z
12,92306,Ejemplo 12,Ejemplo 12,Persona Ejemplo 12,37353,dato-sintetico,dato-sintetico,Coordinación de Enseñanza,2,dato-sintetico,16:28:00,07:41:00,dato-sintetico,dato-sintetico,true,dato-sintetico,6,2026-02-08T17:56:00Z,2026-01-08T17:57:00Z,2026-06-08T09:55:00Z
